	Sz	hEndo	hPeric	hMgl	hOPC	hRgl2c	hRgl2b	hRgl2a	hRgl3	hRgl1	hProgM	hProgBP	hProgFPL	hProgFPM	hNProg	hNbM	hNbML1	hRN	hNbML5	hDA0	hDA1	hDA2	hNbGaba	hGaba	hSert	hOMTN
AARD	0.2795	0.569	0.4189	0.7452	1.3694	0.7021	0.4992	0.8815	1.1873	0.6151	0.8859	0.4442	2.0206	0.4925	0.8362	0.4729	0.5146	0.5681	0.5713	2.3997	0.648	0.6103	0.6283	3.3432	0.8	0.5334
AARS	0.5234	0.4242	0.3395	0.4963	0.3611	0.5318	0.3163	0.5341	0.5972	0.3723	0.3958	0.4215	0.5934	0.3002	0.2168	0.3199	0.3722	0.2573	0.2398	0.2434	0.4591	0.3844	0.32	0.2272	0.5174	0.3667
AARS2	0.1118	0.0891	0.1187	0.1828	0.1454	0.2751	0.184	0.1831	0.1128	0.2018	0.2064	0.1117	0.1396	0.0824	0.1438	0.0951	0.1128	0.0788	0.1883	0.0563	0.1211	0.0813	0.1862	0.0931	0.1741	0.1123
AARSD1	0.6718	0.459	0.4364	0.3904	0.5434	0.4156	0.3592	0.4968	0.4714	0.4042	0.7338	0.5321	0.6516	0.567	0.567	0.5192	0.3951	0.377	0.3129	0.3988	0.7964	0.9749	0.3619	0.4147	0.6622	0.7455
AASDH	0.391	0.2714	0.2401	0.3176	0.2752	0.2789	0.2209	0.4798	0.3043	0.2562	0.4099	0.3361	0.5614	0.3512	0.3951	0.3191	0.5252	0.3377	0.4136	0.2193	0.3263	0.3381	0.2546	0.2026	0.4814	0.3497
AASDHPPT	1.5641	1.028	0.8675	0.8339	0.851	1.1172	0.8057	1.0862	1.1323	0.9651	0.9152	0.7676	1.2882	0.8193	0.7021	0.9818	0.9831	1.5806	1.8202	0.8716	1.5137	1.3788	1.3093	1.1167	2.74	2.2853
AASS	0.7177	0.5103	1.1179	0.4719	0.863	1.3192	0.9614	1.4758	1.1118	1.5076	0.939	0.9847	1.8619	0.5524	0.7391	0.4034	0.5706	0.3552	0.3574	0.301	0.5184	0.3345	0.3794	0.2985	0.607	0.4988
AATF	0.1135	0.1292	0.0756	0.1632	0.1578	0.1095	0.1062	0.1473	0.1114	0.0915	0.1758	0.2399	0.178	0.1613	0.0704	0.0959	0.2752	0.1784	0.1479	0.0685	0.1141	0.1515	0.156	0.071	0.1804	0.0985
AATK	0.0794	0.0817	0.0865	0.0908	0.2854	0.2133	0.0561	0.1411	0.0793	0.1832	0.1434	0.0643	0.1044	0.1512	0.0963	0.0999	0.2009	0.0692	0.3716	0.1822	0.1354	0.3279	0.3292	0.3737	0.5811	0.3245
ABAT	0.8664	0.574	0.4818	0.5134	0.797	1.4741	1.3554	2.4486	1.7401	0.907	0.943	0.9785	1.0307	0.6121	0.957	0.6214	0.8744	0.426	0.678	0.4844	0.6228	0.551	0.5514	0.8366	1.1401	0.7658
ABCA1	0.0967	0.9809	0.096	0.4527	0.0844	0.2068	0.2483	0.3431	0.2966	0.1434	0.2694	0.1624	0.206	0.0915	0.2192	0.1647	0.1162	0.1103	0.0919	0.0738	0.1945	0.1388	0.2043	0.056	0.1399	0.1477
ABCA10	0.1539	1.1522	3.1986	1.4688	0.4646	0.5197	0.3291	0.2739	0.9007	0.4595	0.39	0.5476	0.4579	0.321	0.2907	1.4682	0.3775	0.4172	0.397	0.3509	0.4531	0.4274	1.1387	0.7694	0.6273	0.5961
ABCA11P_p1	0.1592	0.2164	0.2419	0.1249	0.2555	0.1947	0.245	0.1924	0.2738	0.131	0.2227	0.182	0.3195	0.1807	0.1214	0.1402	0.2866	0.1347	0.1487	0.0774	0.1549	0.1791	0.108	0.1	0.2419	0.1421
ABCA12	0.191	0.3856	0.5431	0.5274	0.4891	1.0533	0.6224	0.2811	0.8503	0.9413	1.082	0.5047	0.4498	0.3361	0.2996	0.3411	0.7558	0.9389	0.8469	1.4969	0.4738	0.4313	1.1922	0.6911	3.2405	0.3608
ABCA13	0.439	0.9337	0.447	0.7058	0.6831	0.7538	1.3604	0.6674	1.0446	1.9443	2.2125	0.6208	1.0119	0.5088	0.6671	0.4919	0.9368	0.5854	0.8861	0.5234	0.6546	0.587	0.6499	0.509	0.9012	1.1982
ABCA17P_p1	0.4849	0.9565	2.0379	0.9569	0.9216	1.0024	0.7484	0.7989	0.9761	1.0189	0.8917	0.68	1.8101	0.7759	0.7046	0.7609	0.8318	0.8212	0.7702	1.9048	0.9556	0.833	0.9003	1.7259	1.1704	1.6527
ABCA2	0.0504	0.0645	0.0621	0.0613	0.2693	0.0829	0.0967	0.1286	0.085	0.1574	0.1361	0.0742	0.0804	0.0533	0.0463	0.0685	0.0733	0.0614	0.0668	0.0338	0.11	0.1061	0.1761	0.0417	0.1246	0.1724
ABCA3	0.1703	0.249	0.1415	0.1516	0.3832	0.2522	0.1749	0.1979	0.3612	0.1521	0.1276	0.1246	0.1321	0.0898	0.0782	0.2719	0.3468	0.3571	0.1039	0.3439	0.6088	0.458	0.4502	0.4666	0.8198	0.6452
ABCA4	0.5917	1.3181	0.6577	1.0219	0.8655	0.9823	1.3169	0.7361	1.5645	0.9505	1.5769	2.5588	0.9576	1.4337	2.0702	0.73	0.8135	0.8331	0.7866	0.7315	0.9629	0.8531	0.8822	0.7114	1.1923	0.8029
ABCA5	0.4403	0.3677	0.3982	0.5458	0.3864	0.3238	0.4079	0.8564	0.668	0.3886	0.5781	0.3787	0.3915	0.2645	0.2382	0.2915	0.2285	0.2354	0.309	0.5159	0.5731	0.3538	0.6994	0.4673	1.4381	0.3845
ABCA6	0.5642	0.9779	5.9818	0.9527	0.9145	1.0274	0.7424	1.1181	1.7766	1.0682	0.8949	0.7275	1.0193	0.8316	0.7104	0.8152	0.8551	0.8062	0.7829	1.8853	1.019	0.9169	0.9254	0.802	1.1896	0.9498
ABCA7	0.0092	0.017	0.0266	0.0422	0.0547	0.0638	0.0348	0.0351	0.0528	0.0462	0.0729	0.0326	0.0335	0.0144	0.0386	0.0201	0.0777	0.0227	0.0357	0.0563	0.1185	0.0689	0.0748	0.0285	0.2235	0.0902
ABCA8	0.0143	0.0915	0.1181	0.0665	0.0522	0.0573	0.0449	0.0704	0.8798	0.2278	0.2641	0.0934	0.093	0.0911	0.0496	0.0391	0.0924	0.0735	0.0346	0.0712	0.0429	0.0422	0.0579	0.0294	0.0945	0.0251
ABCA9	0.0043	0.1308	0.5534	0.0629	0.0479	0.0564	0.0695	0.0198	0.0334	0.0408	0.0229	0.0297	0.0661	0.021	0.0163	0.019	0.0676	0.0361	0.0327	0.0696	0.0388	0.094	0.0549	0.0605	0.0789	0.0166
ABCB1	0.0142	1.6935	0.2544	0.0667	0.09	0.0556	0.0417	0.041	0.0578	0.2994	0.0933	0.1164	0.1214	0.1276	0.1221	0.0365	0.0312	0.0377	0.0327	0.0606	0.0414	0.0386	0.2073	0.0274	0.0834	0.1287
ABCB10	0.099	0.1512	0.137	0.1586	0.0862	0.2963	0.1574	0.0897	0.2622	0.1868	0.1507	0.1377	0.1534	0.0719	0.0609	0.0998	0.1407	0.083	0.1265	0.0909	0.2703	0.1574	0.0909	0.2258	0.3343	0.1541
ABCB4	0.187	5.2688	0.5354	0.4516	0.3842	0.4554	0.2642	0.4719	0.364	0.6589	0.3101	0.3527	0.9305	0.4232	0.7955	0.4422	0.3127	0.3349	0.2974	0.2922	0.3804	0.3324	0.4227	0.283	0.5673	0.5414
ABCB6	0.0839	0.1008	0.1233	0.1165	0.1326	0.145	0.1962	0.2668	0.1914	0.2507	0.1376	0.1227	0.1544	0.0737	0.063	0.0839	0.1525	0.0907	0.1835	0.1068	0.179	0.1761	0.2587	0.1815	0.4862	0.0776
ABCB7	0.2066	0.3064	0.1628	0.1705	0.2209	0.1736	0.1234	0.2085	0.2193	0.2883	0.1737	0.2499	0.4617	0.2433	0.2499	0.1884	0.232	0.1338	0.2224	0.1347	0.1472	0.186	0.1362	0.118	0.2503	0.2201
ABCB8	0.0444	0.0522	0.0581	0.0976	0.0817	0.0869	0.0749	0.0635	0.1818	0.0579	0.0837	0.0447	0.0811	0.0869	0.0443	0.0492	0.0455	0.0406	0.1262	0.0496	0.108	0.1541	0.0539	0.1075	0.1754	0.1224
ABCB9	0.4189	0.683	0.6493	0.7123	0.5894	1.1304	0.447	0.7324	0.8973	0.5688	0.7535	0.3951	0.8573	0.6703	0.5231	0.4114	1.9071	0.5275	0.4805	0.4483	0.6009	0.9511	0.6039	2.5754	0.829	0.9723
ABCC1	0.0345	0.1573	0.0405	0.1635	0.1156	0.073	0.1343	0.0777	0.0648	0.0408	0.0615	0.0814	0.0602	0.0674	0.0718	0.0383	0.0413	0.0951	0.0599	0.0858	0.1531	0.0571	0.1293	0.0264	0.1151	0.1532
ABCC10	0.0433	0.0963	0.0451	0.1086	0.0965	0.0542	0.1117	0.0967	0.1455	0.0614	0.0522	0.0433	0.0453	0.0448	0.0473	0.0903	0.0503	0.1076	0.1191	0.121	0.1434	0.063	0.0558	0.0679	0.3496	0.0792
ABCC11	0.4703	0.8488	0.9673	0.9517	0.9006	2.177	0.7325	0.6759	1.7701	1.975	0.8114	2.2153	0.886	1.4356	0.6192	0.6758	0.7776	0.7475	0.7089	0.7406	0.9096	0.7928	0.8118	0.765	1.091	1.25
ABCC13_p1	0.5365	1.0165	1.1881	2.3518	0.9053	1.0232	0.8201	1.7532	1.0171	0.9785	0.9061	0.7752	0.9575	1.5484	1.4224	0.7521	0.8197	0.8867	0.8079	0.7686	1.0123	0.9537	0.9312	1.704	1.2226	0.8957
ABCC2	0.4889	0.789	0.5823	0.9029	0.8373	0.8759	0.6815	1.5656	1.4006	0.8179	0.7282	0.6161	1.4246	1.0863	0.5603	0.5936	1.3023	0.7613	2.8369	0.6881	0.7683	0.7506	0.8378	2.2542	1.0859	0.9779
ABCC3	0.3906	0.7651	0.9243	0.8724	1.93	0.8705	0.6459	1.0112	1.6979	0.8072	2.9913	0.6186	0.8285	1.3655	1.1111	0.6369	0.7317	0.7102	0.691	0.6622	0.8274	0.7298	0.795	0.6783	0.9875	0.7311
ABCC4	0.1102	0.2765	0.1271	0.8049	0.2164	0.2328	0.3541	0.2171	0.1877	0.1958	0.536	0.2725	0.4922	0.7655	0.2049	0.1752	0.5124	0.1625	0.1509	0.1555	0.287	0.1781	0.2316	0.3084	0.3168	0.2165
ABCC5	0.3698	0.3109	0.3235	0.5324	0.3514	0.2825	0.283	0.3275	0.2775	0.2488	0.2398	0.2542	0.3093	0.2043	0.3209	0.5265	0.3501	0.3077	0.5527	0.2463	0.7976	0.5374	0.6695	0.7996	1.2421	0.704
ABCC5-AS1	0.6211	2.2705	1.4708	1.1375	1.141	1.1331	0.9405	0.8829	1.121	1.1287	1.0372	0.8604	1.1283	0.904	0.8031	0.8797	0.9925	0.954	2.0246	0.8608	1.0411	1.0296	0.996	2.2416	1.2638	1.0437
ABCC6	0.6447	1.5557	1.1959	1.0324	1.0041	1.1055	0.8756	3.5313	1.8657	1.0408	1.9435	0.8127	1.0697	0.8577	0.7599	0.8207	0.9317	0.917	0.8654	0.7839	1.0052	0.9482	0.9229	0.8119	1.2498	0.9742
ABCC6P1_p1	0.0086	0.0483	0.0236	0.071	0.1096	0.0594	0.0245	0.1019	0.1537	0.0799	0.1775	0.0662	0.2743	0.1226	0.1216	0.0433	0.0338	0.0435	0.0377	0.033	0.0425	0.0929	0.065	0.0297	0.2065	0.1171
ABCC8	0.0813	0.1901	0.3885	0.2814	0.2517	0.2804	0.1684	0.1506	0.8784	0.2414	0.1867	0.4433	0.3845	0.156	0.2173	0.505	0.6172	0.7179	0.4042	0.1875	0.2305	1.5211	0.2909	0.3326	0.3797	1.2014
ABCC9	0.0271	0.2053	2.643	0.0808	0.1151	0.1985	0.1277	0.2016	0.1782	0.2447	0.0751	0.0996	0.105	0.0324	0.0402	0.0461	0.0705	0.0811	0.116	0.0707	0.1398	0.0477	0.1463	0.0894	0.1022	0.0454
ABCD1	0.2772	0.6913	0.7754	0.5872	1.0575	0.5812	2.0016	0.4149	1.3059	0.509	0.7112	0.3196	0.4984	0.608	0.3288	0.5318	0.4657	0.4602	1.1936	0.3962	0.5105	1.5478	1.1951	0.398	0.7199	0.6233
ABCD2	0.036	0.0476	0.0427	0.0675	0.0991	0.1579	0.0446	0.1328	0.1388	0.1856	0.1722	0.0864	0.1634	0.1151	0.0375	0.0692	0.0744	0.0676	0.0387	0.0573	0.0752	0.1508	0.062	0.1005	0.0924	0.1119
ABCD3	0.4454	0.4941	0.3989	0.3009	0.3382	0.6605	0.4313	0.6374	0.6585	0.3254	0.2937	0.3136	0.3973	0.3033	0.2365	0.2205	0.2301	0.2278	0.2143	0.2376	0.3602	0.2205	0.3067	0.3234	0.4494	0.3814
ABCD4	0.2666	0.258	0.1868	0.2178	0.2182	0.2442	0.2197	0.3519	0.2781	0.275	0.1983	0.2696	0.2213	0.2513	0.1227	0.1893	0.2134	0.3254	0.203	0.1411	0.2621	0.1761	0.2981	0.2953	0.3205	0.315
ABCE1	0.4236	0.4059	0.2521	0.2836	0.271	0.3669	0.285	0.4133	0.3913	0.3026	0.2895	0.3465	0.3441	0.2686	0.2567	0.21	0.2492	0.3594	0.2189	0.2017	0.28	0.315	0.252	0.4601	0.4034	0.37
ABCF1_loc1	0.928	0.6886	0.714	0.685	0.8611	1.0653	0.567	0.6796	0.7704	0.5607	0.6362	0.8127	0.8771	0.7674	0.4658	0.4498	0.5832	0.4237	0.399	0.3669	0.5398	0.5327	0.4839	0.3796	0.7648	0.7301
ABCF1_loc2	0.0082	0.0228	0.0673	0.0441	0.0269	0.0303	0.0344	0.0391	0.0344	0.0445	0.039	0.033	0.051	0.0224	0.0287	0.0133	0.0183	0.0214	0.0209	0.0194	0.1328	0.0707	0.0347	0.0299	0.0549	0.0252
ABCF1_loc3	0.0066	0.0366	0.0683	0.0389	0.0287	0.031	0.0131	0.0295	0.0373	0.043	0.0427	0.0324	0.0323	0.0624	0.0192	0.0185	0.018	0.0447	0.0178	0.0191	0.1257	0.0725	0.037	0.0151	0.1182	0.0192
ABCF1_loc4	0.0096	0.0389	0.0614	0.0437	0.0306	0.0336	0.0234	0.0361	0.0571	0.0445	0.0309	0.0637	0.0533	0.0615	0.0205	0.0189	0.0202	0.0215	0.0219	0.0195	0.131	0.0738	0.0343	0.0171	0.0604	0.0397
ABCF1_loc5	0.0144	0.0459	0.0817	0.0541	0.0389	0.0391	0.0445	0.0378	0.044	0.0518	0.0705	0.0526	0.062	0.0436	0.0387	0.017	0.026	0.0512	0.0272	0.024	0.1245	0.0881	0.0446	0.0371	0.1372	0.0576
ABCF1_loc6	0.0108	0.0266	0.0796	0.0478	0.0341	0.0394	0.0256	0.0303	0.0379	0.0273	0.065	0.0371	0.0602	0.0415	0.0333	0.0214	0.0209	0.0485	0.0214	0.0218	0.1118	0.0806	0.0411	0.0338	0.0589	0.0291
ABCF1_loc7	0.0141	0.0388	0.0732	0.0449	0.0618	0.0359	0.028	0.0452	0.0399	0.0478	0.0621	0.0662	0.0549	0.0539	0.0312	0.0163	0.0226	0.0504	0.0228	0.0227	0.156	0.0724	0.0433	0.0538	0.1252	0.042
ABCF2	0.2435	0.2119	0.2875	0.178	0.2011	0.1687	0.2552	0.2104	0.2264	0.2388	0.1569	0.2415	0.3356	0.2371	0.1242	0.22	0.2542	0.2142	0.1583	0.103	0.2028	0.166	0.1415	0.1585	0.3813	0.2241
ABCF3	0.1583	0.2857	0.1262	0.2486	0.1284	0.4289	0.1368	0.165	0.3127	0.2021	0.2173	0.1445	0.1241	0.1989	0.1075	0.0899	0.1093	0.0948	0.0945	0.1805	0.1865	0.1435	0.118	0.0792	0.185	0.1747
ABCG1	0.0102	0.3204	0.0327	0.4243	0.0769	0.0825	0.0472	0.0378	0.0257	0.0541	0.0339	0.0304	0.0421	0.0296	0.0243	0.0156	0.068	0.0538	0.0233	0.0448	0.0628	0.0302	0.0443	0.0384	0.1335	0.0692
ABCG2	0.0068	3.2187	0.3357	0.5983	0.1417	0.0702	0.058	0.0615	0.0409	0.0501	0.0315	0.0209	0.0412	0.0511	0.0213	0.0258	0.0386	0.0477	0.0425	0.043	0.0538	0.0529	0.0751	0.0348	0.1102	0.0444
ABCG4	0.3717	0.7103	0.6159	0.5541	0.5012	0.5302	0.477	0.6882	0.4708	0.4701	0.5728	0.39	0.4791	0.3435	0.2871	0.3405	0.3981	0.6959	1.4112	0.9835	0.6244	1.0703	0.9095	0.3462	2.071	0.6849
ABHD1	0.6984	1.011	0.7528	0.9757	1.8434	1.1536	1.4374	1.0414	1.6076	1.004	0.919	0.7819	1.1311	1.4158	1.2944	1.232	0.8908	0.8791	0.8242	0.8291	1.0559	0.9483	0.9684	0.7692	2.1699	1.5177
ABHD10	0.4781	0.3421	0.2704	0.2897	0.2946	0.526	0.3542	0.4605	0.4207	0.5298	0.3345	0.4153	0.4073	0.4093	0.2615	0.4118	0.3359	0.3467	0.2607	0.2738	0.4058	0.2837	0.3478	0.2121	0.576	0.3538
ABHD11	0.378	0.7244	1.5496	0.5939	0.5954	0.6184	0.4315	0.4355	1.3193	0.8509	0.4757	0.7927	1.3146	0.6366	0.6163	0.6174	0.4706	0.8868	0.4615	0.4411	0.8669	0.945	0.9373	0.4237	0.7651	0.4738
ABHD12	0.166	0.1367	0.1411	0.2107	0.3404	0.267	0.2621	0.2768	0.5224	0.2314	0.1409	0.1489	0.1881	0.0931	0.0899	0.1308	0.2858	0.1335	0.1446	0.077	0.1272	0.153	0.3311	0.1415	0.4221	0.1738
ABHD13	0.1327	0.1311	0.1302	0.1803	0.211	0.1091	0.144	0.1717	0.1617	0.1153	0.0975	0.1087	0.2111	0.0789	0.0945	0.1489	0.1604	0.0851	0.123	0.0741	0.2982	0.1505	0.3764	0.1409	0.2203	0.1843
ABHD14A	0.1319	0.2147	0.1156	0.1026	0.2877	0.1399	0.1304	0.2207	0.3751	0.2597	0.1163	0.0735	0.1066	0.0829	0.0641	0.0799	0.1341	0.1906	0.1351	0.1113	0.3681	0.195	0.2187	0.113	0.5226	0.2134
ABHD14B	0.0131	0.1118	0.2009	0.1834	0.0421	0.0428	0.0503	0.0523	0.0523	0.0336	0.0599	0.0705	0.0682	0.0205	0.0264	0.0424	0.0982	0.0328	0.0468	0.0519	0.0355	0.0958	0.1064	0.023	0.0732	0.0394
ABHD15	0.3463	1.4664	0.4354	1.0569	0.5586	1.0595	0.6297	0.6623	1.3178	0.5382	0.73	0.6842	1.231	0.5894	0.8599	0.3879	0.4419	0.4859	0.8325	0.4386	0.5559	0.4881	1.2185	0.4106	0.7787	0.453
ABHD16A_loc1	0.3121	0.2465	0.2084	0.2794	0.2173	0.2825	0.189	0.3147	0.3197	0.3332	0.4871	0.1986	0.3229	0.2326	0.2085	0.2861	0.2155	0.2461	0.1591	0.1279	0.258	0.2746	0.2263	0.1435	0.3027	0.2965
ABHD16A_loc2	0.8939	1.2436	1.2968	0.9777	0.9112	0.9865	1.0121	0.8658	1.9076	1.2154	1.2125	0.8711	1.1451	0.6727	0.6963	0.7475	0.7108	0.757	0.707	0.6364	0.9109	0.7788	0.834	1.4412	1.2692	0.8345
ABHD16A_loc3	0.8099	1.2853	1.2637	0.9392	0.8427	0.9439	0.8364	0.8338	1.4907	1.1716	1.1878	1.0349	1.1258	0.632	0.67	0.7425	0.7207	0.7034	0.6844	0.6169	0.8627	0.7567	0.8172	1.4922	1.1928	0.7485
ABHD16A_loc4	0.8839	1.3693	1.161	0.9339	0.921	1.01	0.9087	0.7664	1.4967	1.2594	1.2919	1.1709	1.1951	0.6944	0.9359	0.8318	0.7438	0.7946	0.6934	0.693	0.9278	0.8259	0.8679	1.6952	1.2237	0.8264
ABHD16A_loc5	0.5453	1.0262	0.9968	0.7186	0.6709	0.7242	0.8334	0.5746	1.6062	0.9196	0.9562	0.8938	0.8236	0.58	0.6957	0.4514	0.5415	0.5492	0.5358	0.4717	0.6499	0.5684	0.6469	1.2985	0.8866	0.555
ABHD16A_loc6	0.8078	1.3547	1.3424	0.9051	0.9041	0.9336	0.8783	0.7727	2.046	1.1719	1.2507	1.1418	1.0896	0.6497	0.672	0.7733	0.7086	0.7527	0.6502	0.6218	0.878	0.7371	0.8219	1.0572	1.1869	0.7629
ABHD16A_loc7	0.4225	1.0558	1.0992	0.6783	0.6266	0.6787	0.6678	0.4558	1.7671	0.9842	1.4502	0.7299	0.8365	0.6073	0.7032	0.4232	0.5207	0.5149	0.4922	0.455	0.6052	0.5428	0.6102	1.3675	0.8404	0.4743
ABHD17A	0.1328	0.8275	0.3619	0.2267	0.4151	0.48	0.1714	0.2176	0.2134	0.1569	0.1215	0.0766	0.1442	0.188	0.0995	0.1072	0.0834	0.103	0.1392	0.0742	0.1515	0.1014	0.1328	0.1464	0.8453	0.1547
ABHD17B	0.3053	0.3863	0.1927	0.2687	0.2904	0.2409	0.1695	0.2597	0.3315	0.3308	0.2399	0.2265	0.3003	0.1877	0.1939	0.2407	0.2065	0.255	0.3129	0.1234	0.3861	0.2085	0.2218	0.3539	0.3403	0.2578
ABHD17C	0.1987	0.3311	0.1183	0.1402	0.1577	0.207	0.2288	0.4513	0.5346	0.3699	0.4283	0.2067	0.4347	0.2635	0.1951	0.127	0.1914	0.3273	0.1871	0.1468	0.1941	0.1107	0.4321	0.1433	0.4003	0.2009
ABHD2	0.2486	0.4976	0.6526	0.2724	0.374	0.2327	0.4108	0.6369	0.419	0.5385	0.2162	0.1277	0.2093	0.127	0.1084	0.1895	0.1662	0.1521	0.1918	0.1049	0.223	0.4388	0.4695	0.238	0.4185	0.3762
ABHD3	0.0804	0.1694	0.0856	0.3945	0.1024	0.2539	0.1417	0.1364	0.2412	0.1541	0.1953	0.0631	0.0931	0.0912	0.0687	0.1258	0.1082	0.0619	0.0536	0.0695	0.1416	0.0654	0.1645	0.0668	0.1291	0.1335
ABHD4	0.0629	0.1385	0.0936	0.0689	0.2406	0.2013	0.1698	0.2965	0.1938	0.2434	0.0673	0.1104	0.0959	0.0898	0.0589	0.0642	0.0656	0.0547	0.0802	0.1078	0.0868	0.0482	0.059	0.06	0.1125	0.0572
ABHD5	0.2713	0.3142	0.4229	0.176	0.2164	0.2872	0.1645	0.2987	0.4642	0.2457	0.179	0.1515	0.2338	0.2232	0.1625	0.1976	0.2527	0.2249	0.1945	0.3035	0.306	0.1909	0.4393	0.3268	0.5068	0.3661
ABHD6	0.0176	0.1205	0.0623	0.1584	0.0516	0.0605	0.0659	0.0835	0.062	0.1228	0.0566	0.0429	0.064	0.0407	0.0502	0.0247	0.0924	0.0419	0.0704	0.1905	0.1345	0.1347	0.0653	0.0564	0.1859	0.104
