	Sz	mEndo	mPeric	mMgl	mEpend	mRgl3	mRgl2	mRgl1	mNProg	mNbM	mNbML2	mNbL2	mNbDA	mDA0	mDA1	mDA2	mNbML1	mNbML3	mNbL1	mNbML4	mRN	mGaba1b	mGaba1a	mGaba2	mSert	mOMTN	mNbML5
0610040B10Rik	0.118	0.141	0.065	0.1843	0.1589	0.2274	0.1622	0.0984	0.1149	0.0952	0.1795	0.1377	0.1307	0.07	0.1291	0.0965	0.2105	0.274	0.1323	0.2355	0.2148	0.1568	0.2332	0.1891	0.1581	0.2485	0.0889
0610040F04Rik	1.363	2.863	1.282	1.6958	1.5244	1.528	1.4005	1.3648	1.7063	1.0948	1.0183	1.9827	1.095	1.2406	1.4363	1.3859	1.2802	1.7067	1.5491	1.8134	1.7021	1.2223	1.3838	3.0483	1.6906	1.7585	1.2099
0610040J01Rik	0.2534	0.4746	0.9789	28.2418	0.6872	0.6565	1.0351	0.5199	0.4017	0.4804	0.3878	1.8093	0.459	0.5572	0.6015	0.5852	0.5323	0.6471	1.6285	0.705	0.7034	0.4962	0.575	0.8431	0.6052	1.0768	0.5015
1110001A16Rik	0.404	0.3186	0.2043	0.8582	0.8547	0.56	0.306	0.3978	0.2184	0.1852	0.2055	0.2438	0.2011	0.182	0.2665	0.278	0.266	0.4344	0.4483	0.4788	0.4451	0.2804	0.3365	0.5065	0.4334	0.3897	0.2666
1110001J03Rik	0.8758	0.5479	0.4088	0.6156	0.4846	0.7007	1.0385	0.5064	0.5438	0.3202	0.4124	0.4579	0.4423	0.5315	0.6986	0.5244	0.4873	0.9051	0.9166	1.2218	1.0247	0.9809	1.1208	1.397	1.3331	1.4646	0.4452
1110002L01Rik	0.1839	0.1277	0.1912	0.2282	0.2007	0.1988	0.1892	0.1307	0.206	0.1701	0.1525	0.148	0.2906	0.1918	0.1551	0.1318	0.2577	0.229	0.2908	0.2279	0.2316	0.2836	0.3436	0.4339	0.2859	0.2127	0.163
1110004E09Rik	0.3092	0.3062	0.1938	0.2496	1.1815	0.6276	0.5297	0.3375	0.3355	0.1603	0.1567	0.2574	0.1237	0.1566	0.2136	0.2007	0.157	0.452	0.2282	0.2863	0.3393	0.2808	0.3181	0.5371	0.292	0.3317	0.136
1110004F10Rik	5.0111	2.9614	2.2416	3.1073	2.4999	3.1652	2.7919	3.1962	3.1752	1.9436	2.0827	2.3579	2.0867	2.0422	3.4919	3.4524	2.4807	3.9829	2.8061	4.1445	4.3267	3.7434	3.6593	5.4279	6.0792	3.7944	2.2962
1110006O24Rik	0.681	0.676	0.6455	0.9015	0.8723	0.8582	0.9513	0.7068	0.7165	0.5946	1.3303	1.353	0.5812	1.1088	0.874	1.4221	1.6171	0.9287	0.9137	1.018	1.2124	0.9505	0.7442	1.4179	1.5484	1.0938	0.5965
1110007C09Rik	0.0199	0.407	0.1114	0.3437	0.078	0.6095	0.1537	0.0281	0.0431	0.0642	0.0172	0.0978	0.034	0.051	0.048	0.0429	0.0681	0.114	0.0515	0.0961	0.0426	0.0649	0.0785	0.1624	0.0993	0.1689	0.0236
1110008F13Rik	0.4537	0.4909	0.4444	0.7333	0.3352	0.2965	0.3258	0.3632	0.2619	0.166	0.2016	0.3671	0.3229	0.307	0.2795	0.2357	0.2704	0.3932	0.3831	0.4659	0.54	0.3498	0.2244	0.8342	0.3625	0.4294	0.1914
1110008J03Rik	0.1935	0.1673	0.2141	0.1739	0.445	0.6371	0.3731	0.1854	0.1164	0.1621	0.2116	0.1452	0.1608	0.1813	0.2052	0.5819	0.1664	0.3609	0.4101	0.6577	0.5721	0.3145	0.622	0.457	0.3679	0.4733	0.2461
1110008L16Rik	0.0723	0.2209	0.094	0.1756	0.0907	0.0885	0.0933	0.132	0.0933	0.1105	0.0775	0.0765	0.0475	0.046	0.084	0.0725	0.0965	0.1994	0.0884	0.0982	0.1377	0.1473	0.0731	0.124	0.156	0.1493	0.0634
1110008P14Rik	0.3453	0.2189	0.2659	0.2539	0.2742	0.2554	0.2506	0.2451	0.195	0.2147	0.1587	0.2716	0.2102	0.4384	0.396	0.3131	0.3425	0.2554	0.907	0.5001	0.6046	0.5365	0.5492	1.0813	0.7337	1.1353	0.1527
1110012L19Rik	0.2626	0.3025	0.2165	0.2361	0.2047	0.4257	0.4126	0.2002	0.1803	0.1318	0.1747	0.1672	0.165	0.1745	0.2333	0.2513	0.1611	0.2168	0.3501	0.3066	0.3578	0.2825	0.2486	0.5326	0.4936	0.4495	0.1657
1110015O18Rik	0.0055	0.0492	0.0323	0.0333	0.0624	0.1397	0.1059	0.094	0.0597	0.0341	0.0111	0.0303	0.0284	0.022	0.1373	0.0333	0.0182	0.2388	0.0386	0.1779	0.0271	0.0371	0.143	0.1185	0.1427	0.0202	0.0632
1110017D15Rik	0.0287	0.0556	0.0492	0.074	7.7999	0.4115	0.1698	0.1251	0.1261	0.0338	0.0714	0.1722	0.1088	0.1213	0.0646	0.2646	0.134	0.2435	0.2274	0.1417	0.2413	0.3063	0.1778	0.3592	0.16	0.3057	0.2109
1110019D14Rik	0.0044	0.054	0.0906	0.2259	0.1493	0.149	0.117	0.1454	0.0843	0.0364	0.0346	0.0741	0.0147	0.0247	0.0418	0.0373	0.0376	0.1138	0.0382	0.0366	0.0307	0.039	0.0243	0.0128	0.0407	0.0775	0.0191
1110020A21Rik	0.0903	0.1572	0.1325	0.1705	0.7681	0.2862	0.1715	0.2927	0.2847	0.0917	0.1385	0.1439	0.1865	0.1829	0.2617	0.2495	0.1094	0.1609	0.3131	0.3069	0.4189	0.1553	0.1289	0.2535	0.2413	0.2707	0.0909
1110032A03Rik	0.3421	0.2891	0.1859	0.3781	2.7751	0.7421	0.288	0.2295	0.222	0.1549	0.272	0.2512	0.2263	0.255	0.2634	0.1909	0.3158	0.9474	0.4177	0.8233	0.6621	0.2514	0.3715	0.5072	0.4536	0.4462	0.2004
1110032F04Rik	0.0826	0.3845	0.1666	0.2646	0.7301	0.552	0.3816	0.4783	0.1055	0.1518	0.1203	1.021	0.1454	0.4082	0.2618	0.2341	0.182	0.4593	0.2821	0.303	0.4371	0.3015	0.3643	0.8556	0.321	1.064	0.3182
1110034G24Rik	0.0143	0.1829	0.129	0.0807	0.0767	0.0462	0.0207	0.0557	0.0264	0.0385	0.0336	0.0493	0.0334	0.0504	0.046	0.0774	0.1345	0.0382	0.0941	0.0446	0.126	0.0834	0.0534	0.0831	0.1011	0.0521	0.0223
1110035M17Rik	0.3119	0.6424	0.9439	0.7941	0.5651	0.4713	0.4406	0.3551	0.3597	0.3094	0.2489	0.7589	0.2866	0.6523	1.5071	0.8753	0.3544	0.4977	0.9	1.4675	0.4933	0.5362	0.6602	0.5542	1.1118	0.8129	0.3116
1110037F02Rik	0.235	0.4642	0.3594	0.3341	0.2961	0.3701	0.2093	0.3525	0.3236	0.1079	0.1349	0.418	0.1614	0.1474	0.2785	0.2765	0.2027	0.2695	0.2315	0.2203	0.2258	0.1486	0.1813	0.3588	0.2529	0.2776	0.1173
1110038B12Rik	2.5851	1.5863	1.2719	1.87	1.3569	1.3172	1.429	1.9021	2.6526	1.2191	1.0665	1.2255	1.2346	1.7701	1.4711	1.6283	1.7161	2.3668	1.8316	2.6381	2.4735	1.9124	1.7803	2.1791	1.9796	2.3086	1.4401
1110038F14Rik	0.6001	0.405	0.3758	0.4396	0.5081	0.624	0.5577	0.4997	0.5787	0.428	0.2652	0.3317	0.2492	0.4479	0.3885	0.4922	0.3368	0.5267	0.4112	0.539	0.6829	0.4174	0.4168	0.5421	0.4494	0.6206	0.327
1110046J04Rik	1.4279	1.6212	1.1919	1.6415	1.4577	1.4512	1.248	1.849	1.4548	1.0627	0.9135	1.8308	1.0152	1.1214	1.3872	1.2523	1.1421	1.6337	1.5379	1.6819	2.3608	1.259	1.9383	2.4575	2.0717	1.6285	1.0679
1110051M20Rik	1.1068	0.6719	0.5496	0.7409	0.733	1.1522	0.8075	0.6086	0.6094	0.6104	0.6213	0.7384	0.5653	0.5056	1.0147	0.9265	1.2123	2.2894	1.1423	2.0022	0.9561	1.0289	1.1561	1.8704	1.9719	1.5101	0.5815
1110054M08Rik	0.301	1.3101	1.8573	1.3592	1.1812	0.5177	0.9812	0.3725	0.4909	0.312	0.2386	0.4934	0.3044	0.4002	0.4878	0.4738	0.561	0.5293	0.5256	0.5684	0.7811	0.3923	0.4231	0.9647	0.4578	0.5845	0.5555
1110057K04Rik	0.3936	0.3005	0.2083	0.2826	0.2968	0.4532	0.3347	0.4402	0.4128	0.4309	0.2225	0.2107	0.1698	0.1687	0.2404	0.2445	0.2505	0.3822	0.4431	0.4522	0.3453	0.381	0.2969	0.5712	0.4219	0.8517	0.1771
1110058L19Rik	2.037	1.2515	0.9304	1.4638	1.1902	1.1313	1.38	1.1384	1.0899	0.7883	0.7377	0.9915	1.2786	0.9533	1.3384	1.3217	0.9525	1.6995	1.586	2.723	2.32	1.4804	1.6549	2.1749	1.9538	3.0256	1.0676
1110059E24Rik	1.1148	0.7958	0.5541	0.7549	0.8223	1.0678	0.6857	1.2275	0.9891	0.6271	0.4342	0.6378	0.4631	0.4915	0.8483	0.8858	0.6301	0.8151	0.7512	1.705	0.8982	0.7368	0.8257	1.3209	0.9111	1.047	0.4341
1110059G10Rik	1.0755	0.8459	0.558	0.8197	0.6146	0.6478	0.622	0.6633	0.6333	0.4782	0.4498	0.621	0.4604	0.474	0.5853	0.608	0.4877	0.8589	0.6712	0.831	0.8578	0.759	0.6735	1.0312	0.8576	0.9138	0.4713
1110065P20Rik	0.2676	0.2186	0.2247	0.2492	0.2452	0.3072	0.2056	0.2155	0.1848	0.1475	0.2301	0.168	0.1156	0.2598	0.1895	0.1927	0.145	0.2583	0.2315	0.9489	0.4475	0.2711	0.3376	0.7564	0.3068	0.5064	0.1952
1190002F15Rik	0.0045	0.1418	0.1913	0.3665	0.0806	0.0498	0.5912	0.8532	1.166	0.0457	0.0137	0.0419	0.0402	0.064	0.0427	0.0427	0.0237	0.038	0.0491	0.0471	0.0345	0.0232	0.0303	0.053	0.0244	0.0233	0.0227
1190002N15Rik	0.3455	0.3588	0.2312	0.9548	0.6048	1.2928	0.3947	0.8849	1.6294	0.3819	0.1651	0.2566	0.503	0.2511	0.2398	0.2767	0.3069	0.3496	0.2655	0.3756	0.3438	0.2277	0.2356	0.4155	0.8069	0.3644	0.3836
1190005I06Rik	0.0131	0.0281	0.1157	0.1574	0.1318	0.0812	0.0975	0.0401	0.0516	0.0752	0.0264	0.0704	0.0347	0.0525	0.1739	0.3606	0.0393	0.3235	0.0864	0.0848	0.4895	0.0857	0.0471	0.3132	0.2139	0.2515	0.0797
1190007I07Rik	0.1074	0.2422	0.1827	0.1424	0.1678	0.1614	0.082	0.0931	0.1156	0.0731	0.0825	0.1372	0.0749	0.2245	0.162	0.1209	0.0891	0.1575	0.0961	0.2101	0.1157	0.1355	0.1027	0.2115	0.177	0.1885	0.0884
1200014J11Rik	0.4684	0.3466	0.3561	0.3617	0.2927	0.2812	0.2676	0.3041	0.3751	0.4421	0.3566	0.4082	0.3504	0.291	0.3266	0.683	0.3278	0.605	0.6281	0.666	0.4895	0.3556	0.2956	0.6008	0.3957	0.617	0.2675
1300002E11Rik	0.2477	0.2295	0.1863	0.2148	0.2513	0.1998	0.2893	0.2268	0.2215	0.2563	0.1691	0.2024	0.2123	0.2091	0.2783	0.2246	0.1652	0.2267	0.2411	0.2212	0.3315	0.169	0.2072	0.4021	0.2286	0.24	0.117
1300015D01Rik	0.2305	1.0482	0.3683	0.5275	0.6251	0.5471	0.6802	1.2528	0.4394	0.3522	0.2777	2.3488	0.609	0.9059	0.4936	0.4907	1.3259	0.541	0.555	0.5514	0.5513	0.388	0.445	1.4123	0.473	0.7419	0.7601
1300017J02Rik	0.6373	0.9321	0.8962	1.1159	1.0749	1.0495	0.8883	0.9402	1.2388	0.7137	4.3696	1.6447	0.7619	0.8938	0.9944	0.9982	0.8364	1.0744	1.0221	1.1852	2.1691	0.9101	0.8641	1.1109	1.0566	1.1548	1.4044
1500002O10Rik	0.5682	1.1295	0.724	1.0231	2.1508	4.62	0.7727	1.1524	0.9401	0.673	0.5746	1.3321	0.6137	0.7019	0.9623	0.8244	0.7653	0.9925	0.9491	1.0783	0.9723	1.2451	2.7587	0.8842	0.9853	0.9764	0.692
1500004A13Rik	0.3076	0.1951	0.1652	0.2255	0.2975	0.7348	0.6761	0.3774	0.3859	0.4775	0.2858	0.3593	0.5309	0.2207	0.3379	0.3058	0.3433	0.3722	0.639	0.5503	0.5138	0.5818	0.4833	0.7865	0.9019	1.118	0.3246
1500009C09Rik	0.037	0.0372	0.0285	0.0642	0.5451	0.3596	0.1639	0.16	0.0394	0.0492	0.1065	0.092	0.0757	0.1028	0.1474	0.2118	0.0391	0.3328	0.0878	0.0867	0.1141	0.0683	0.2171	0.295	0.1509	0.191	0.1086
1500009L16Rik	0.2917	0.1865	0.3813	0.2483	0.554	0.2891	0.4022	0.2602	0.2507	0.1157	0.1369	0.2096	0.1751	0.295	0.4036	0.3007	0.2873	0.5267	0.6956	0.9812	0.2737	0.3355	0.3818	0.7387	0.297	0.6286	0.1439
1500011B03Rik	0.798	0.4903	0.3902	0.5608	0.5957	0.5464	0.4685	0.4906	0.4239	0.511	0.5197	1.0338	0.4756	0.6119	0.4958	1.0936	0.7074	0.6462	1.5225	1.01	0.8569	0.6137	1.0562	1.3287	1.1568	1.1655	0.3705
1500011K16Rik	0.5493	0.7996	0.3965	0.5069	0.7996	0.6284	0.8845	0.6112	0.4913	0.2186	0.1988	0.296	0.3281	0.3959	0.51	0.6054	0.4463	0.4691	0.3764	0.4736	0.6336	0.8153	0.544	1.3713	0.7453	0.761	0.2779
1500012F01Rik	3.188	2.0807	1.5097	2.1354	1.5972	1.5734	1.6931	1.6719	2.1865	1.6824	1.641	1.5075	1.2915	1.6108	2.1359	1.5405	2.0727	3.0399	2.0376	3.0854	3.0168	2.2121	1.7651	2.77	2.4034	2.9737	1.3295
1500015A07Rik	0.0712	0.1023	0.0555	0.0863	0.1401	0.0666	0.0822	0.0612	0.0801	0.0705	0.0474	0.1077	0.0602	0.0524	0.063	0.0881	0.0492	0.1789	0.136	0.2536	0.1356	0.1462	0.1118	0.165	0.1563	0.1619	0.1191
1500015O10Rik	0.1466	0.3455	0.3639	0.5195	24.7659	8.0657	1.2259	0.4023	1.2371	0.3512	0.2878	0.7219	0.3343	0.3982	0.4888	0.4807	0.3498	0.496	0.5007	0.5525	0.4944	0.357	0.4226	0.62	0.8388	0.4558	0.3768
1500016L03Rik	0.8766	0.539	0.456	0.7046	0.6395	0.6466	0.6093	0.5679	0.5091	0.5017	4.3264	1.1003	0.6268	0.5541	0.6871	0.5079	2.2	1.0838	0.5953	1.0995	2.7664	3.1753	1.738	2.2116	0.7016	0.791	2.0936
1500017E21Rik	0.3875	0.5929	0.5802	0.8216	1.9873	0.6995	1.551	1.1051	1.1498	0.5736	0.4872	1.0297	0.5517	2.4636	1.5339	0.7665	0.594	0.8243	0.7949	0.8663	0.8221	0.6088	0.6562	1.8566	0.7215	0.7192	0.563
1600002D24Rik	1.1138	1.7134	1.0828	1.3887	1.2923	1.2625	1.136	1.0936	1.6761	0.9513	0.809	2.5782	1.5221	1.0247	1.223	1.2011	1.0211	1.3409	1.3151	1.6008	2.1546	1.0898	1.1498	2.2828	1.4149	1.4756	0.9775
1600002H07Rik	0.0704	0.078	0.1883	0.1612	0.1584	0.0763	0.139	0.2005	0.1717	0.1154	0.1246	0.1491	0.0725	0.1542	0.0926	0.0914	0.1133	0.158	0.1587	0.3712	0.1056	0.0578	0.0673	0.1242	0.0814	0.1723	0.0528
1600002K03Rik	0.0405	0.0773	0.0454	0.0942	0.0704	0.0528	0.0714	0.0404	0.097	0.0834	0.0461	0.1159	0.0434	0.0485	0.0487	0.0711	0.0733	0.1055	0.0853	0.1217	0.0844	0.0864	0.0674	0.1114	0.1205	0.0838	0.081
1600012H06Rik	0.0601	0.2072	0.3322	0.1993	0.2189	0.0613	0.2517	0.2082	0.1126	0.0701	0.0705	0.0745	0.0322	0.0586	0.0826	0.1094	0.1155	0.0659	0.0671	0.0898	0.1384	0.085	0.0931	0.2126	0.1467	0.1138	0.0431
1600014C10Rik	0.0727	0.0988	0.0726	0.4231	0.0877	0.1153	0.1103	0.0537	0.0574	0.1404	0.0925	0.0871	0.0566	0.1199	0.1205	0.0861	0.1207	0.3408	0.0878	0.1209	0.2813	0.1552	0.1335	0.3417	0.1349	0.3164	0.0951
1600014C23Rik	0.5134	1.2301	0.7646	1.0399	0.9913	0.8969	15.8379	0.8304	0.7104	0.646	0.6521	1.5286	0.7104	0.8162	0.9245	0.868	0.8109	0.9664	0.9744	1.1128	1.0528	0.8046	0.8419	1.4994	0.987	0.9655	0.6909
1600016N20Rik	0.2313	0.4727	0.4811	0.662	0.6558	0.6151	0.517	0.507	2.3668	0.4743	1.5143	1.083	1.9861	0.5332	0.6028	0.6501	1.206	0.6844	0.6732	0.7325	0.6679	0.5006	0.5689	0.5498	0.5877	2.0294	0.5009
1600020E01Rik	0.1152	0.1158	0.1456	0.1001	0.2261	0.1052	0.0942	0.1273	0.0759	0.1057	0.1171	0.1972	0.0738	0.08	0.2235	0.2246	0.0855	0.1346	0.1362	0.3335	0.2557	0.0938	0.1866	0.2485	0.1841	0.2173	0.068
1600023N17Rik	0.8272	0.7664	0.89	1.0202	0.9918	0.9276	0.7394	0.9186	1.1036	0.6062	0.5214	0.698	0.5836	0.6889	1.4387	1.2368	0.6662	2.0392	1.4908	2.349	1.0232	0.9675	1.2197	1.3636	1.1105	1.2074	0.8729
1600029I14Rik	0.353	0.8136	0.8129	0.9486	86.7116	0.8234	0.8168	0.8765	0.712	0.7384	0.6928	0.826	0.7039	0.7718	0.8739	0.8668	0.7936	0.9227	0.8616	1.0424	1.0099	0.7923	0.8212	0.9393	0.9194	0.9612	0.8243
1600029O15Rik	0.0089	0.0331	0.0514	0.0399	0.1659	0.0443	0.0461	0.0593	0.0333	0.0192	0.0474	0.0724	0.0177	0.0565	0.0467	0.0409	0.2207	0.0769	0.252	0.1992	0.033	0.0232	0.0576	0.0892	0.0378	0.1461	0.042
1700001C02Rik	0.1361	0.3631	0.3887	0.5346	82.0007	7.7767	0.4153	1.0431	0.331	0.4021	0.3438	0.4067	0.3738	0.443	0.5424	0.4841	1.1305	0.5331	0.5629	0.5588	0.552	0.4173	1.2643	0.4177	0.472	0.4753	0.4016
1700001C19Rik	0.9661	3.5343	1.5259	1.383	1.2646	1.2351	1.0977	1.1219	1.3416	0.8946	0.8042	1.8539	0.8914	1.0636	1.1895	1.206	1.0214	1.3773	1.305	1.46	1.4723	1.0882	1.0929	2.4516	1.3199	1.3899	1.028
1700001D01Rik	0.8131	1.3682	1.2226	1.3819	1.1781	1.1998	1.2557	1.2058	1.1077	2.5914	0.933	1.1604	1.0614	1.1667	1.2628	1.1492	1.0797	1.3895	1.3375	1.4739	1.5007	1.2415	1.0921	2.4841	1.4838	1.5259	1.0225
1700001G11Rik	0.2962	1.0571	1.1029	0.6041	1.3792	0.5807	0.4219	0.4461	0.4639	0.6928	0.5061	0.6971	1.1119	1.5504	0.569	0.5166	0.7839	0.574	0.582	0.6212	0.6088	0.4506	0.4376	0.8367	0.5226	1.665	0.3889
1700001J03Rik	0.469	0.92	0.8798	1.0574	0.9645	0.9557	0.9007	0.9207	0.8481	0.7781	0.7438	6.0438	0.8346	0.8876	1.0157	0.9275	0.8476	1.093	1.052	1.1346	1.1686	0.8906	2.6112	1.1071	1.0883	1.1275	0.8357
1700001J11Rik	0.6347	3.0044	0.9195	0.9248	0.8824	0.8629	0.833	0.9846	0.6888	0.9642	0.4854	0.9237	0.5408	0.6373	0.8073	0.7527	0.6399	0.895	0.8879	1.4435	1.9775	0.664	0.7195	1.1527	0.8052	0.8898	1.4936
1700001L05Rik	1.5326	1.9045	1.188	2.2888	1.5472	1.4052	1.3251	1.3496	1.4168	1.5212	0.9455	1.3337	1.6693	1.1535	1.4049	1.3616	1.2119	1.6225	1.5765	1.7446	1.7938	1.9482	1.2856	2.3226	2.1481	1.6997	1.0322
1700001L19Rik	0.0553	0.07	0.0742	0.0803	1.5652	0.0955	0.0796	0.0878	0.0369	0.0395	0.0291	0.1013	0.0384	0.0894	0.4483	0.228	0.0609	0.1818	0.3198	0.2063	0.0759	0.2731	0.2621	0.6007	0.4242	0.1005	0.0819
1700001O22Rik	1.0161	1.2874	0.9413	1.3174	1.2067	4.0971	1.3999	1.4592	1.0847	0.8662	1.6784	2.0886	0.8145	0.9135	1.0859	1.0393	0.9352	1.2552	1.1424	1.4029	1.3582	0.9634	1.0421	1.5372	1.5131	1.2743	0.8531
1700001P01Rik	1.0385	1.2154	1.8994	1.5388	2.987	1.3415	1.1686	1.2244	1.5354	0.992	1.7446	1.1959	1.0271	1.1355	1.3292	1.2742	1.1506	1.479	1.4141	1.7163	1.5727	1.1692	1.2239	1.4538	2.2375	1.5022	1.028
1700003E16Rik	0.0424	0.1083	0.2392	0.2158	7.3485	0.2242	0.3515	0.2776	0.1529	0.1334	0.0952	0.9814	0.2557	0.1594	0.2125	0.4846	0.1516	1.1347	0.5436	0.5044	0.1911	0.1478	0.3629	0.5964	0.4888	0.1682	0.1346
1700003M02Rik	0.1219	0.4144	0.5497	0.3983	32.2589	0.9209	0.28	0.3129	0.3604	0.2804	0.2052	0.2916	0.2559	0.7678	0.3954	0.3846	0.316	1.6006	1.0362	0.4578	0.3709	0.3105	0.7205	1.2256	0.6706	0.3653	0.2901
1700003M07Rik	0.0529	0.1258	0.1599	0.2659	1.7454	0.6439	2.3212	0.7706	0.597	0.1459	0.2165	0.1517	0.1442	0.4254	0.2496	0.2446	0.3707	0.2589	0.6696	0.2842	0.4724	0.1674	0.4364	0.4436	0.184	0.343	0.1542
1700007G11Rik	0.2352	0.4387	0.4802	0.6705	97.393	1.4484	0.4666	1.0299	0.3896	0.446	0.3648	0.4727	0.409	0.4932	0.5785	0.6076	1.1223	0.6447	0.6703	0.695	0.6577	0.4871	0.5382	0.8429	0.5765	1.7204	0.4632
1700007J10Rik	0.5434	0.8602	2.8656	1.0505	1.023	0.983	1.5625	0.9215	0.7117	1.5448	1.1502	1.5601	0.7269	0.8142	0.9369	2.1104	0.7788	1.0479	0.9879	1.0947	1.0725	0.845	0.8903	0.9486	0.9942	1.0707	0.7804
1700007K13Rik	0.2086	0.6066	0.4028	0.5667	21.5079	8.0294	0.6985	0.4455	0.5229	0.3685	0.3138	0.4144	0.3601	0.4083	1.2292	0.5114	0.3976	0.5637	0.5246	0.5961	0.5549	0.4407	0.476	0.9633	0.839	0.504	0.8726
1700007L15Rik	0.4688	0.6977	0.535	2.414	0.7809	1.352	1.1369	1.3814	1.7729	0.8504	0.4191	1.3317	0.4561	0.5306	0.7018	0.6618	0.5351	0.7497	0.7534	0.814	1.1229	0.569	0.6028	0.8698	0.6944	0.7049	0.8596
1700008J07Rik	0.0284	0.0519	0.1254	0.2107	0.4119	0.0836	0.2571	0.1705	0.1248	0.0689	0.0608	0.089	0.055	0.0527	0.1441	0.0697	0.1107	0.2502	0.0859	0.0808	0.0678	0.0725	0.1916	0.1169	0.0753	0.0993	0.0759
1700008O03Rik	0.4306	0.6553	0.6061	0.9958	0.6674	0.5857	1.1784	0.6905	0.4446	0.3875	0.4659	1.8351	0.5808	0.457	0.5797	0.5642	0.4353	0.631	1.0268	0.698	0.6699	0.6733	0.513	1.9773	0.5531	0.7179	0.663
1700009P17Rik	0.0052	0.026	0.0371	0.0803	6.8046	3.1817	0.4288	0.335	0.0397	0.0414	0.0248	0.0407	0.0391	0.0552	0.0849	0.0832	0.0416	0.0729	0.0887	0.0944	0.0616	0.0432	0.058	0.0517	0.0456	0.0447	0.0434
